model,prompt,FashionMNIST,MNIST,CIFAR-10,CIFAR-100,Flowers-102,Food-101,Oxford-IIIT Pet
RN50,',46.94,45.37,52.75,18.86,54.27,67.18,75.52
,'asklhafhewufjkfhtjdy',47.79,36.79,55.04,18.89,44.18,65,73.23
,top10-classname,14.01,14.52,20.29,9.88,14.03,39.62,20.45
,1-classname,39.56,38.58,49.93,15.81,46.71,65.65,77.45
,4&6-classname,25.34,29.85,52.09,17.31,38.71,56.18,74.65
,6&4-classname,19.9,33.24,45.45,15.84,38.12,,
,8&9&10classname,,,,,,53.94,50.82
,a photo of a',49.89,24.03,55.78,26.09,59.01,68.03,79.57
,not a photo of a',46.48,27.55,55.75,24.11,57.14,68.45,72.99
,apple',50.21,40.56,58.44,,,,
,'bag',41.49,29.67,48.56,,,,
ViT-B/16,',61.11,51.81,84.97,47.65,63.28,81.26,82.11
,'asklhafhewufjkfhtjdy',67.77,26.2,82.83,49.42,53.31,80.46,81.22
,top10-classname,47.06,13.24,44.65,31.65,21.81,49.18,29.84
,1-classname,57.1,40.84,78.74,43.88,59.04,79.43,81.26
,4&6-classname,61.35,13.65,72.32,45.16,45.09,74.57,76.16
,6&4-classname,61.9,31.4,72.7,37.56,48.34,,
,8&9&10classname,,,,,,63.71,53.81
,a photo of a',63.95,20.7,87.82,57.05,65.66,83.07,87.36
,not a photo of a',58.78,34.53,88.36,53.44,61.01,81.51,72.28
,apple',62.74,38.92,88.33,,,,
,'bag',56.91,28.26,84.83,,,,
ViT-B/32,',61.47,23.63,82.4,49.87,59.72,73.75,80.24
,'asklhafhewufjkfhtjdy',65.11,15.57,85.12,51.38,52.04,72.62,76.17
,top10-classname,32.56,9.75,52.46,29.18,24.01,44.19,35.41
,1-classname,56.74,29.81,77.69,44.98,50.76,72.91,71.59
,4&6-classname,46.77,14.01,72.15,46.52,36.65,59.65,64.45
,6&4-classname,47.61,22.05,73.89,41.79,35.86,,
,8&9&10classname,,,,,,61.38,46.24
,a photo of a',62.84,18.4,85.28,55.93,63.74,77.46,84.55
,not a photo of a',59.91,25.14,85.39,53.63,61.96,75.12,68.6
,apple',59.63,20.99,85.27,,,,
,'bag',58.29,23.27,80.18,,,,
ViT-L/14,',65.99,68.55,90.02,60.03,72.36,88.29,88.2
,'asklhafhewufjkfhtjdy',72.27,44.04,88.68,57.03,63.62,85.45,80.66
,top10-classname,23.49,12.08,58.85,32.69,30.87,66.58,38.2
,1-classname,52.4,53.69,83.47,56.29,65.83,86.59,89.35
,4&6-classname,56.36,24.55,86.97,58.89,65.02,74.69,81.17
,6&4-classname,45.87,23.47,85.65,51.61,63.17,,
,8&9&10classname,,,,,,75.69,66.34
,a photo of a',67.01,49.13,93.51,66.78,73.93,88.62,93.53
,not a photo of a',55.24,56.49,91.72,55.29,61.85,83.05,60.28
,apple',65.84,66.92,93.8,,,,
,'bag',52.29,54.13,88.47,,,,
